Type	Name	Rev	New Name	New Rev	Policy	State	Vault	Owner	description	CAS Number	Substance Name	Originator	GWM GADSL	GWM From-To	GWM EC name	GWM EC number	GWM IUPAC name	GWM Molecular Formula	GWM Ref CAS name	GWM Ref CAS number	GWM Ref EC name	GWM Ref EC number	GWM Ref IUPAC name	GWM Reference Substance	GWM REACH
Substance					Substance	Active	eService Production	creator		11099-02-8		creator	D												
Substance					Substance	Active	eService Production	creator		11103-86-9		creator	D/P												SVHC
Substance					Substance	Active	eService Production	creator		11104-28-2		creator	P												
Substance					Substance	Active	eService Production	creator		11112-63-3		creator	D/P												
Substance					Substance	Active	eService Production	creator		11113-50-1		creator	D/P												SVHC
Substance					Substance	Active	eService Production	creator		10043-35-3		creator	D/P												SVHC
Substance					Substance	Active	eService Production	creator		11113-70-5		creator	D/P												
Substance					Substance	Active	eService Production	creator		11113-74-9		creator	D												
Substance					Substance	Active	eService Production	creator		11113-75-0		creator	D												
Substance					Substance	Active	eService Production	creator		11114-92-4		creator	D												
Substance					Substance	Active	eService Production	creator		11115-74-5		creator	D/P												
Substance					Substance	Active	eService Production	creator		111-15-9		creator	D												SVHC
Substance					Substance	Active	eService Production	creator		11116-83-9		creator	D/P												
Substance					Substance	Active	eService Production	creator		11119-70-3		creator	D/P												
Substance					Substance	Active	eService Production	creator		11120-22-2		creator	D/P												SVHC
Substance					Substance	Active	eService Production	creator		11129-14-9		creator	D/P												
Substance					Substance	Active	eService Production	creator		11133-76-9		creator	D												
Substance					Substance	Active	eService Production	creator		111381-89-6		creator	D												
Substance					Substance	Active	eService Production	creator		111381-90-9		creator	D												
Substance					Substance	Active	eService Production	creator		111381-91-0		creator	D												
Substance					Substance	Active	eService Production	creator		11139-24-5		creator	D												
Substance					Substance	Active	eService Production	creator		11141-16-5		creator	P												
Substance					Substance	Active	eService Production	creator		111-42-2		creator	D												
Substance					Substance	Active	eService Production	creator		111512-56-2		creator	D/P												
Substance					Substance	Active	eService Production	creator		1116-54-7		creator	D												
Substance					Substance	Active	eService Production	creator		111-77-3		creator	D												SVHC
Substance					Substance	Active	eService Production	creator		1118-03-2		creator	P												
