Type	Name	Rev	New Name	New Rev	Policy	State	Vault	Owner	description	CAS Number	Substance Name 	Originator	GWM GADSL	GWM From-To	GWM EC name	GWM EC number	GWM IUPAC name	GWM Molecular Formula	GWM Ref CAS name	GWM Ref CAS number	GWM Ref EC name	GWM Ref EC number	GWM Ref IUPAC name	GWM Reference Substance	GWM REACH
Substance	SUB-9000000000075		SUB-9000000000075		Substance	Active	eService Production	creator		12607-70-4	[Carbonato(2-)]  tetrahydroxytrinickel		D												
Substance	SUB-9000000000076		SUB-9000000000076		Substance	Active	eService Production	creator		127519-17-9	Alkyl (C7-C9), 3-[3-(2H-benzotriazol-2-yl)-5-(1,1-dimethylethyl)-4-hydroxyphenyl]propionates, mixture of branched and linear 		D												
Substance	SUB-9000000000077		SUB-9000000000077		Substance	Active	eService Production	creator		127-65-1	Tosylchloramide sodium		D/P												
Substance	SUB-9000000000078		SUB-9000000000078		Substance	Active	eService Production	creator		128-03-0	Potassium dimethyldithiocarbamate		D												
Substance	SUB-9000000000079		SUB-9000000000079		Substance	Active	eService Production	creator		128-04-1	Sodium dimethyldithiocarbamate		D												
Substance	SUB-9000000000080		SUB-9000000000080		Substance	Active	eService Production	creator		128-37-0	2,6-di-tert-butyl-p-cresol 		D												
Substance	SUB-9000000000081		SUB-9000000000081		Substance	Active	eService Production	creator		128-39-2	Phenol, 2,6-bis(1,1-dimethylethyl)-		D												
Substance	SUB-9000000000082		SUB-9000000000082		Substance	Active	eService Production	creator		129-00-0	Pyrene		D												
Substance	SUB-9000000000083		SUB-9000000000083		Substance	Active	eService Production	creator		130328-18-6	Aluminium sodium silicate-silver complex; Silver zeolite		D												
Substance	SUB-9000000000084		SUB-9000000000084		Substance	Active	eService Production	creator		130328-19-7	Aluminium sodium silicate-silver copper complex; Silver Copper Zeolite		D												
Substance	SUB-9000000000085		SUB-9000000000085		Substance	Active	eService Production	creator		130328-20-0	Silver zinc zeolite; Aluminium sodium silicate-silver zinc complex		D												
Substance	SUB-9000000000086		SUB-9000000000086		Substance	Active	eService Production	creator		13058-06-5	Hexanoic acid, 2,3,3,4,4,5,5,6,6,6-decafluoro-2-(1,1,2,2,2- pentafluoroethyl)-, ammonium salt(1:1)		D												
Substance	SUB-900000000087		SUB-900000000087		Substance	Active	eService Production	creator		131341-86-1	Fludioxonil; 4-(2,2-Difluoro-1,3-benzodioxol-4-yl)-1H-pyrrole-3-carbonitrile		D												
Substance	SUB-900000000088		SUB-900000000088		Substance	Active	eService Production	creator		1314-62-1	Vanadium pentoxide (orthorhombic crystalline form)		D												
Substance	SUB-900000000089		SUB-900000000089		Substance	Active	eService Production	creator		131-56-6	2,4-Dihydroxybenzophenone		D												
Substance	SUB-900000000090		SUB-900000000090		Substance	Active	eService Production	creator		132-27-4	Sodium 2-biphenylate; 2-phenylphenol, sodium salt		D												
Substance	SUB-900000000091		SUB-900000000091		Substance	Active	eService Production	creator		1324-76-1	Benzenesulfonic acid, [[4-[[4-(phenylamino)phenyl][4-(phenylimino)-2,5-cyclohexadien-1-ylidene]methyl]phenyl]amino]- (Pigment Blue 61)		D												
Substance	SUB-900000000092		SUB-900000000092		Substance	Active	eService Production	creator		1324-87-4	C.I. Direct Brown 33, C.I.35520		D/P												
Substance	SUB-900000000093		SUB-900000000093		Substance	Active	eService Production	creator		133-06-2	Captan; 1,2,3,6-tetrahydro-N-(trichloromethylthio)phthalimide		D/P												
